-311869	180517	621.877	46.9679	-405537	200580	8642.91	-4364.72	-14318.5	-31885.2	-3933.68	-16529.7	3975.94	2446.08	651.982	7957.89	19061.5	-5.27928	
-1.47506e+06	852750	12273.9	3048.58	348329	-330831	-33140.9	-25090.3	-11286.3	30454.3	4166.15	2847.53	47758.9	17679.4	7731.6	14846.4	-17074.6	2100.67	
1.58349e+06	-916467	3219.11	64.488	2.21413e+06	-1.10477e+06	-50104.3	23614.7	76739.8	173069	21602.9	80996.8	-26424.5	-14545.7	-7243.86	-40989.8	-104293	1363.95	
-1.26753e+06	734090	-6212.32	-1052.91	-2.56934e+06	1.33433e+06	65919.9	-17437.8	-81297.2	-202158	-25310.4	-92831.7	11388.1	9702.61	4403.6	41091.8	121387	-1766.92	
1.11231e+06	-644049	2960.95	305.08	1.76638e+06	-895398	-41659.6	16105.8	59173.7	138428	17304.2	64733.5	-15499.6	-9641.77	-4497.1	-31380.8	-83487.3	916.971	
103186	-58930.5	-12540.9	-2313.59	-1.62935e+06	928293	55504.1	3346.77	-39342.9	-129363	-16483.1	-50059.9	-16631.3	-3260.08	-76.9259	14538.8	77454.4	-2580.66	
540578	-313260	-5158.08	-418.81	483273	-224633	-6419.88	7014.76	19285.7	38255.1	4601.88	25443.7	-5000.04	-3574.3	790.115	-12908.8	-22991.2	-1253.26	
219096	-127538	-3742.24	161.098	508018	-268166	-11537.4	1340.17	15529.3	40980.3	4993.19	25685.7	6250.44	546.05	3123.03	-9564.24	-24387.8	-1180.96	
990072	-573796	-4683.41	-247.686	1.25021e+06	-616841	-24357.5	13123.4	44512	98572.1	12130.6	54885.3	-9133.2	-6996.41	-203.128	-26766.2	-59485.4	-1258.92	
1.23371e+06	-713702	-14562.2	-2337.2	-36302.2	131430	20923.2	18812.2	15647.8	-3994.76	-969.214	14740.5	-28860.6	-11795.9	-1924.99	-16363.3	2113.34	-2872.95	
800297	-462957	-14106.3	-1981.71	-344381	265661	24775.9	11822.6	2061.45	-27550.4	-3885.72	2942.26	-18079.5	-7059.99	540.523	-7983.98	16636.6	-2892.66	
-2.1572e+06	1.24621e+06	17478.7	4532.03	582859	-526122	-49271.7	-36935.6	-14637	50276.7	6891.7	7083.51	71722.3	25971.2	11799.4	19378.5	-29248.5	2204.52	
2.97161e+06	-1.72153e+06	2771.92	-56.0072	4.05759e+06	-2.02016e+06	-86718.3	43438.6	141653	317064	39611.4	153374	-45473.6	-26858.9	-11286.3	-80391.4	-193247	51.3457	
-553856	325442	-25546.2	-5619.4	-5.16872e+06	2.86844e+06	156240	-1551.55	-136730	-409594	-51980.7	-175635	-39048.5	-2707.81	-1911.56	64059.4	248296	-2743.26	
-1.8207e+06	1.05235e+06	18191.3	3599.05	240342	-300833	-34849.6	-29316.2	-18507.1	21456.1	3319.45	-9522.88	50836.4	19385.4	6136.77	20244.1	-12582	2862.76	
884605	-513477	9042.28	1271.54	2.17615e+06	-1.14769e+06	-56896.4	12290.4	66472.6	170696	21611.5	74089.6	-6845.41	-7517.58	-4422.18	-34495.2	-104336	1080.28	
-501678	292969	-7915.67	-2119.91	-2.38918e+06	1.30434e+06	67334.5	-4141.99	-66501.3	-189201	-23922.9	-85782.2	-13973.8	787.14	-1268.62	33914.3	115111	-92.7568	
-330310	191139	3560.27	495.608	-95661	24330.2	-2196.44	-4797.76	-6810.92	-7377.17	-796.589	-7872.09	6227.62	2832.15	221.382	5483.35	4432.51	696.36	
-651213	376286	7091.23	1341.14	123087	-128553	-13569.8	-10418.1	-5672.53	10514.5	1574.6	-2778.4	18046.7	6793.81	1937.77	6739.09	-6382.82	1043.39	
-139740	79836.5	7143.75	1263.03	770236	-447505	-26445.7	-2922.66	17442	60983.7	7884.65	22155.9	9981.9	2072.72	81.483	-6987.51	-37419.9	785.941	
-376501	218103	3767.59	406.236	-240749	102279	1430.57	-5139.54	-11049.9	-18939.8	-2240.93	-13987.9	5019.31	2833.82	-195.475	7951.42	11464	890.83	
584646	-337524	-4667.47	-1243.83	-173481	151544	13491.2	10039.2	3568.88	-14820.3	-2041.25	-2419.17	-19756	-7028.5	-3254.57	-4732.31	8849.08	-395.618	
-158828	93910.6	-7764.27	-1595.89	-1.46393e+06	812633	43115.2	-629.301	-38827.1	-115683	-14772.2	-48884.6	-10469.5	-257.108	-158.081	19388.5	71076	-243.023	
-254085	145955	3501.59	997.191	444678	-274803	-16857.8	-5080.66	7692.22	35795.9	4640.69	14102.9	13488	3829.24	2175.96	-2776.64	-21940	-55.7395	
